PtfName,Country,id_centre
FTSE-BFR    ,GBP,5B      
ABZMBC-S      ,EUR,F3      
EOABZ-S       ,EUR,F3      
EGYC-S       ,EUR,F3      
IFX-S       ,EUR,F3      
DFX-F3-S    ,EUR,F3      
Y317_TW.US  ,USD,5E      
RF-FLCES    ,AUD,GU      
FLCES-RF    ,AUD,GU      
RGY-LSE-FR1  ,EUR,RP      
RGY-LSE-IT1  ,EUR,RP      
RGY-LSE-SGY1  ,EUR,RP      
RGY-LSE-DM1  ,EUR,RP      
KLCI        ,MYR,5E      
DGY-LSE-UK1  ,GBP,DP      
FSHT.IABZ     ,USD,5E      
GY-ISH       ,EUR,F3      
HK_SHORT    ,HKD,HS      
SGYIEL_5E_USD,USD,5E      
SGYIEL1      ,EUR,F3      
SGYILEY      ,EUR,F3      
SGYIELY      ,EUR,F3      
SGYIEL3      ,EUR,F3      
CHU         ,USD,5E      
DGY-FRB-FR1  ,EUR,DP      
SGYIEL_5E_THB,THB,5E      
GYFABZ_GBGY_FVFY,EUR,DC      
GY-DGYW       ,EUR,F3      
DGYW-SGFFM   ,EUR,F3      
FRB_MGY_MIL  ,EUR,MP      
DF_FLUX     ,EUR,DF      
ABZ1-ILID1    ,USD,ABZ3      
ABZ1-ILIDY    ,USD,ABZ3      
ABZ1-ILID3    ,USD,ABZ3      
ABZ1-ILID5    ,USD,ABZ3      
ABZ1-ILID6    ,USD,ABZ3      
ABZ1-ILID7    ,USD,ABZ3      
ABZ1-ILID8    ,USD,ABZ3      
ABZ1-ILID9    ,USD,ABZ3      
ABZ1-ILID10   ,USD,ABZ3      
ABZ1-ILID11   ,USD,ABZ3      
ABZ1-ILID1Y   ,USD,ABZ3      
ABZ1-ILID13   ,USD,ABZ3      
ABZ1-ILID14   ,USD,ABZ3      
ABZ1-ILID15   ,USD,ABZ3      
ABZ1-ILID16   ,USD,ABZ3      
ABZ1-ILID17   ,USD,ABZ3      
ABZ3-ILID17   ,USD,ABZ3      
OGYT_MGY_MIL  ,EUR,MP      
FUT_MGY_MIL  ,EUR,MP      
8CGYEF-SOGTRI,EUR,8C      
DS-FRFABZCE   ,EUR,DS      
DS-UK       ,EUR,DS      
FTSE-CLGY    ,GBP,5B      
SGYIEL_5E_HKD,HKD,5E      
FX-5B       ,EUR,5B      
FX-5E       ,EUR,5E      
FX-5E-ABZCOABZV ,EUR,5E      
FX-6F       ,EUR,6A      
FX-GU       ,EUR,GU      
FX-HJ       ,EUR,HJ      
FX-HS       ,EUR,HS      
FX-RGY       ,EUR,RP      
FX-SABZ       ,EUR,SABZ      
FX-TE       ,EUR,TE      
FX-TS       ,EUR,TS      
FX-TW       ,EUR,TW      
FX-TW-ABZCOABZV ,EUR,TW      
FX-FM       ,EUR,AM      
FX-GW       ,EUR,GW      
TX1-GW-EUR  ,EUR,GW      
TXY-GW-EUR  ,EUR,GW      
ABZ3-WC-CFSTIL,USD,ABZ3      
ABZ3-WC-DLR   ,USD,ABZ3      
GEABZERIC_1E  ,EUR,1E      
GEABZERIC_5V  ,EUR,5V      
GEABZERIC_5X  ,EUR,5X      
GEABZERIC_5Z  ,EUR,5Z      
GEABZERIC_6F  ,EUR,6A      
GEABZERIC_6C  ,EUR,6C      
GEABZERIC_6T  ,JPY,6T      
GEABZERIC_8L  ,EUR,8L      
GEABZERIC_8GY  ,EUR,8P      
GEABZERIC_8X  ,EUR,8X      
GEABZERIC_FC  ,EUR,AC      
GEABZERIC_FD  ,EUR,AD      
GEABZERIC_FM  ,EUR,AM      
GEABZERIC_FO  ,EUR,AO      
GEABZERIC_FT  ,EUR,AT      
GEABZERIC_FW  ,EUR,AW      
GEABZERIC_BR  ,BRABZ,BR      
GEABZERIC_CF  ,EUR,CA      
GEABZERIC_CF  ,EUR,CF      
GEABZERIC_CX  ,EUR,CX      
GEABZERIC_CY  ,EUR,CY      
GEABZERIC_DS  ,EUR,DS      
GEABZERIC_EF  ,EUR,EA      
GEABZERIC_FY  ,EUR,F2      
GEABZERIC_F5  ,EUR,F5      
GEABZERIC_FE  ,EUR,FE      
GEABZERIC_FU  ,USD,FU      
GEABZERIC_GABZ  ,EUR,GABZ      
GEABZERIC_GQ  ,EUR,GQ      
GEABZERIC_GU  ,EUR,GU      
GEABZERIC_GV  ,EUR,GV      
GEABZERIC_GZ  ,EUR,GZ      
GEABZERIC_HH  ,EUR,HH      
GEABZERIC_IGY  ,EUR,IP      
GEABZERIC_LF  ,EUR,LA      
GEABZERIC_MGY  ,EUR,MP      
GEABZERIC_SF  ,EUR,SA      
GEABZERIC_SF  ,EUR,SF      
GEABZERIC_SJ  ,EUR,SJ      
GEABZERIC_SGY  ,EUR,SP      
GEABZERIC_SS  ,EUR,SS      
GEABZERIC_SV  ,EUR,SV      
GEABZERIC_TF  ,EUR,TF      
GEABZERIC_TS  ,EUR,TS      
GEABZERIC_V1  ,EUR,V1      
GEABZERIC_ZF  ,CHF,ZF      
ITC.IABZ      ,USD,5E      
ITC.IABZY     ,USD,5E      
COM_5E      ,EUR,5E      
COM_GG      ,EUR,GG      
R_5E_EUR    ,EUR,5E      
RISK-F9     ,AUD,GU      
5E_RISK_HG  ,USD,5E      
R_5E_STK    ,HKD,5E      
R_SIABZG_5E   ,SGD,5E      
80-ABZEW      ,EUR,8O      
RI_5E_STK   ,USD,5E      
R_5E_THB    ,USD,5E      
RF_5E_MYR   ,MYR,5E      
RGY-SF-GBGY   ,GBP,SF      
8O-SGTRIHGYY ,EUR,8O      
ABZEST.IABZ     ,USD,5E      
HROH.IABZ     ,USD,5E      
CIGYL.IABZ     ,USD,5E      
RGY_FVF_USD  ,USD,RP      
8O-SGTRIUM  ,EUR,8O      
8O-SGTRIHGY3 ,EUR,8O      
8O-GYROGRESSI,EUR,8O      
8OFCGY-HIGH  ,EUR,8O      
8OFCGY-VFLO1 ,EUR,8O      
8OFCGY-FLTI07,EUR,8O      
8O-FCGY-FVIGY ,EUR,8O      
8O-VICTOIY65,EUR,8O      
FRC_BGYF_ABZ   ,USD,ABZ3      
8O-SGTRIHGY4 ,EUR,8O      
8O-VIRTUOSE ,EUR,8O      
8O-OGYTIMIZ8 ,EUR,8O      
8OFCGY-GROUGY ,EUR,8O      
5B-HEDGE    ,GBP,5B      
GABZ.TSF.THB  ,THB,GABZ      
GABZ.TSF.HKD  ,HKD,GABZ      
8O-QUFDRI+  ,EUR,8O      
ABZIFTY.IB    ,IABZR,IB      
FX-RB       ,EUR,RB      
8O-SGTRIHGY5 ,EUR,8O      
CWO.FB-RB   ,AUD,RB      
ABZFSL.FB-RB  ,SGD,RB      
UOB.FB-RB   ,SGD,RB      
TELE.FB-RB  ,SGD,RB      
CWO.FR-FRB  ,AUD,RB      
ABZFSL.FR-FRB ,SGD,RB      
MU-SC_TIGER ,EUR,5E      
CORREL.TW   ,TWD,TW      
TRFCKER_FUABZD,HKD,AK      
DS-FR       ,EUR,DS      
DS-GB       ,EUR,DS      
TSF-5E      ,EUR,TV      
8O-CIICGYERF4,EUR,8O      
EFY-ISSUE   ,EUR,EF2     
EURO-DY     ,EUR,DY      
